Asa Mi Asami,Pu. La. Deshpande,,
Vyakti Ani Valli,Pu. La. Deshpande,,
Uralasurala,Pu. La. Deshpande,,
Aahe Manohar Tari...,Sunita Deshpande,,
Kanamantra Aai-Babansathi,Manoj Ambike,,
You Can Win,Shiv Khera,,
Kaath,Dr. S. L. Bhyrappa,,
Sartha,Dr. S. L. Bhyrappa,,
Mandra,Dr. S. L. Bhyrappa,,
Parva,Dr. S. L. Bhyrappa,,
Vanshavruksha,Dr. S. L. Bhyrappa,,
Dimitri Riyaj Kelkarchi Goshta,Pranav Sakhdeo,,
Chafa Lavin Tithe, Laal!,Vasant Dahokar,
Ole Haladiche Un,Vasant Dahokar,,
Mai,Geetanjali Shree,,
Born to Run,Christopher McDougall,,
Tathakathit,Vijay Tambe,,
Bhumi,Asha Bage,,
Shreelippi,Kiran Gurav,,
Baluchya Awasthantaranchi Diary,Kiran Gurav,,
Sudhashanti Bhuvan,Kiran Gurav,,
Teen Hajar Take,Sudha Murthy,,
Ayushyache धडे Girvatana,Sudha Murthy,,
Wise and Otherwise,Sudha Murthy,,
Baromas,Sadanand Deshmukh,,
Tanakat,Rajan Gavas,,
Barik Sarik Aawaj Vadhat chalalet,Neera Jawale-Sonavane,,
Ibru,Priyanka Patil,,
Kathayan,Madhukar Dharmapurikar,,
Pivla Pivla Pachola,Anil Sable,,
